               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.026038,            0.012015,                   0,             0.92816,             0.88235,              0.9431,             0.62214,            0.027942,           0.0075513,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.026193,             0.01147,                   0,             0.92996,             0.89258,             0.94448,             0.63356,            0.026502,           0.0073648,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026678,            0.012132,                   0,             0.90923,             0.90336,             0.92504,             0.61174,            0.026182,           0.0075314,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026445,            0.011703,                   0,             0.92001,             0.89076,             0.93042,              0.6184,             0.02653,           0.0077283,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.025596,            0.011812,                   0,             0.92888,             0.89916,             0.93315,             0.60901,            0.027516,           0.0077576,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025349,            0.011279,                   0,             0.92267,             0.90336,             0.93776,             0.61529,              0.0268,           0.0076635,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.025141,             0.01167,                   0,             0.92234,             0.90336,             0.94286,             0.62119,            0.026493,           0.0078626,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025193,            0.011715,                   0,             0.90992,             0.91597,             0.93764,             0.62812,            0.027347,           0.0073459,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024852,            0.011435,                   0,             0.93182,             0.92017,             0.95014,              0.6341,             0.02627,           0.0076561,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.02473,            0.010836,                   0,             0.93353,             0.91597,             0.94763,             0.61366,            0.026275,           0.0080288,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025338,             0.01152,                   0,             0.93115,             0.89916,             0.92607,             0.63188,            0.025918,           0.0075969,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024278,             0.01107,                   0,              0.8972,             0.92017,             0.92735,             0.61848,            0.026581,           0.0076923,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024414,            0.011782,                   0,             0.91896,             0.90336,             0.93848,             0.63494,             0.02614,           0.0074098,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024249,             0.01164,                   0,             0.92337,             0.92437,             0.94529,             0.63744,            0.026357,           0.0075017,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023347,            0.010956,                   0,             0.94936,             0.89916,              0.9514,             0.64377,            0.025938,           0.0077248,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023578,            0.011435,                   0,             0.94693,             0.89969,             0.95203,             0.64457,            0.026009,           0.0076536,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023317,            0.010667,                   0,              0.9189,             0.92437,             0.95191,              0.6318,            0.027196,           0.0074938,                   0,            0.004753,            0.004753,            0.004753
